TextID,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,CRFANP1,CRFANPa,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,RDFRE,RDFKGL,RDL2
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\eyelid.txt,1,1,1,1,0,1,0,2,0,6,0,-6.34700012207031,0,3.61899995803833,100,-11.7340002059937,0,-0.994000017642975,16.1100006103516,-6.19799995422363,0,-9.21199989318848,0,5.97800016403198,100,-24.0410003662109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1.03999996185303,1.03999996185303,1.03999996185303,0,0,0,0,0,1,9,0,9,36.6199989318848,8.39999961853027,-21.9379997253418
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\eyes.txt,1,1,1,1,0,1,0,1,0,4,0,-3.28600001335144,0.0500000007450581,0.906000018119812,81.5899963378906,9.32699966430664,100,0.822000026702881,79.3899993896484,-3.12199997901917,0.0900000035762787,5.61600017547607,100,0.906000018119812,81.5899963378906,-28.8740005493164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,2.71000003814697,2.71000003814697,2.71000003814697,167,611,634,603,483,5,7.40000009536743,0,7.40000009536743,100,0,15.1440000534058
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\feelings.txt,1,1,1,1,0,1,0,2,0,8,0,-3.69199991226196,0,2.69099998474121,99.6399993896484,-4.68300008773804,0,0.352999985218048,63.6800003051758,-4.16400003433228,0,2.35500001907349,99.0599975585938,3.06599998474121,99.8899993896484,-27.1439990997314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,2.14000010490417,2.14000010490417,2.14000010490417,339,612,262,370,0,6,7.33300018310547,0,7.33300018310547,36.6199989318848,8.39999961853027,2.48699998855591
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\first.txt,1,1,1,1,0,1,0,1,0,5,0,-4.73899984359741,0,13.0839996337891,100,19.7479991912842,100,-3.53699994087219,0,49.7470016479492,100,4.41599988937378,100,-56.7939987182617,0,-29.9890003204346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1000,0,1000,0,1000,0,1000,1000,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,2.57999992370605,2.57999992370605,2.57999992370605,0,590,311,388,429,7,0,0,0,100,0,12.2569999694824
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\five.txt,1,1,1,1,0,1,0,1,0,4,0,-3.47900009155273,0.0299999993294477,4.31899976730347,100,-14.1660003662109,0,2.55100011825562,99.4599990844727,-7.38100004196167,0,-7.43499994277954,0,5.63899993896484,100,-23.5370006561279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99800002574921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46000003814697,0,0,0,0,0,0,1,0,0,0,100,0,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\flame.txt,1,1,1,1,0,1,0,1,0,5,0,-4.67500019073486,0,1.47099995613098,92.9199981689453,8.74300003051758,100,0.130999997258186,55.1699981689453,-3.55800008773804,0,0.250999987125397,59.8699989318848,1.07400000095367,85.7699966430664,-28.0970001220703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1.4099999666214,1.4099999666214,1.4099999666214,261,551,582,598,489,1,8,0,8,100,0,-13.7220001220703
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\flow.txt,1,1,1,1,0,1,0,1,0,4,0,-4.02899980545044,0,2.10899996757507,98.2099990844727,4.65799999237061,100,0.439000010490417,66.6399993896484,-3.15300011634827,0.0799999982118607,1.72099995613098,95.7300033569336,1.6139999628067,94.629997253418,-28.1849994659424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1.54999995231628,1.54999995231628,1.54999995231628,0,518,311,417,419,7,6.71400022506714,0,6.71400022506714,100,0,-10.6129999160767
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\fluid.txt,1,1,1,1,0,1,0,2,0,5,0,-6.28000020980835,0,3.66100001335144,100,-11.6350002288818,0,-0.920000016689301,17.8799991607666,-6.07499980926514,0,-8.78499984741211,0,5.92199993133545,100,-24.1399993896484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1.11000001430511,1.11000001430511,1.11000001430511,0,0,0,0,0,2,3,0,3,36.6199989318848,8.39999961853027,-20.382999420166
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\flush.txt,1,1,1,1,0,1,0,1,0,5,0,-6.13000011444092,0,0.204999998211861,57.9300003051758,3.83100008964539,100,-1.6360000371933,5.15999984741211,-5.64699983596802,0,-1.41199994087219,7.92999982833862,-0.365000009536743,35.939998626709,-25.9130001068115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,507,447,530,382,2,0,0,0,100,0,-45.0309982299805
C:\Summer 2023 - DSI-SRP\featureFR\My Analysis\archive\coh-metrix_wrdcnc\fold.txt,1,1,1,1,0,1,0,1,0,4,0,-0.103000000119209,46.0200004577637,4.05000019073486,100,-11.7170000076294,0,1.03699994087219,84.8499984741211,-4.53800010681152,0,-11.1759996414185,0,6.42700004577637,100,-23.5160007476807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99899995326996,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1.57000005245209,1.57000005245209,1.57000005245209,0,0,0,0,0,6,0,2.33299994468689,2.33299994468689,100,0,-10.168999671936
